outcome,type,old_name,new_name
survive,baseline,PC1,PC1
survive,baseline,PC2,PC2
survive,residual,PC1,PC1
survive,residual,PC2,PC2
survive,residual,PC3,PC3
rop_severe,residual,PC1,PC1
rop_severe,residual,PC2,PC2
rop_severe,residual,PC3,PC3
rop_severe,residual,PC4,PC4
rop_severe,residual,PC5,PC5
rop_severe,residual,PC6,PC6
rop_severe,residual,PC7,PC7
rop_severe,residual,PC8,PC8
rop_severe,residual,PC9,PC9
hearing,residual,PC1,PC1
hearing,residual,PC2,PC2
hearing,residual,PC3,PC3
hearing,residual,PC4,PC4
hearing,residual,PC5,PC5
