variable,old_type,new_type
socioeconomic_status,factor,factor
education_status,factor,factor
maternal_age,numeric,numeric
ivf,factor,factor
pe,factor,factor
gdm,factor,factor
cs,factor,factor
gravida,numeric,numeric
ga_wk,numeric,numeric
sex,factor,factor
multiple_gestation,factor,factor
as1,numeric,factor
as5,numeric,factor
resuscitation_at_birth,numeric,factor
birthtime_day,factor,factor
birthtime_evening,factor,factor
birthtime_night,factor,factor
steroid_antenatal,numeric,factor
chorioamnionitis,factor,factor
surfactant,numeric,factor
bbw_z,numeric,factor
bhc_z,numeric,factor
death_age,numeric,numeric
survive,factor,factor
rop_severe,factor,factor
bpd,factor,factor
bpd_moderate_severe,factor,factor
eugr_hc,factor,factor
eugr_bw,factor,factor
hearing,factor,factor
resp_supp_agg_cum_day_qw,numeric,numeric
fio2_cum_day_qw,numeric,numeric
fio2_cum_level_qw,numeric,numeric
resp_supp_agg_cum_day_pct,numeric,numeric
fio2_cum_day_pct,numeric,numeric
fio2_cum_level_pct,numeric,numeric
steroid_postnatal,numeric,factor
bw_z_qw,factor,factor
hc_z_qw,factor,factor
inotropic,numeric,factor
blood_volume,numeric,factor
transfusion,numeric,factor
blood_culture,numeric,factor
plt,numeric,factor
wbc,numeric,factor
feeding,numeric,factor
ivh,factor,factor
pvl,factor,factor
cerebellar_hemorrhage,factor,factor
ischaemic_stroke,factor,factor
pda_medical,factor,factor
pda_surgical,factor,factor
nec,numeric,factor
non_nec_surg_abd,factor,factor
aki,numeric,factor
