variable,old_type,new_type
socioeconomic_status,factor,NA
education_status,factor,NA
maternal_age,numeric,NA
ivf,factor,NA
pe,factor,NA
gdm,factor,NA
cs,factor,NA
gravida,numeric,NA
ga_wk,numeric,NA
sex,factor,NA
multiple_gestation,factor,NA
as1,numeric,NA
as5,numeric,NA
resuscitation_at_birth,numeric,NA
birthtime_day,factor,NA
birthtime_evening,factor,NA
birthtime_night,factor,NA
steroid_antenatal,numeric,NA
chorioamnionitis,factor,NA
surfactant,numeric,NA
bbw_z,numeric,NA
bhc_z,numeric,NA
death_age,numeric,NA
survive,factor,NA
rop_severe,factor,NA
bpd,factor,NA
bpd_moderate_severe,factor,NA
eugr_hc,factor,NA
eugr_bw,factor,NA
hearing,factor,NA
resp_supp_agg_cum_day_qw,numeric,NA
fio2_cum_day_qw,numeric,NA
fio2_cum_level_qw,numeric,NA
resp_supp_agg_cum_day_pct,numeric,NA
fio2_cum_day_pct,numeric,NA
fio2_cum_level_pct,numeric,NA
steroid_postnatal,numeric,NA
bw_z_qw,factor,NA
hc_z_qw,factor,NA
inotropic,numeric,NA
blood_volume,numeric,NA
transfusion,numeric,NA
blood_culture,numeric,NA
plt,numeric,NA
wbc,numeric,NA
feeding,numeric,NA
ivh,factor,NA
pvl,factor,NA
cerebellar_hemorrhage,factor,NA
ischaemic_stroke,factor,NA
pda_medical,factor,NA
pda_surgical,factor,NA
nec,numeric,NA
non_nec_surg_abd,factor,NA
aki,numeric,NA
