colname,old_cat,new_cat
socioeconomic_status,1,NA
socioeconomic_status,2,NA
socioeconomic_status,3,NA
socioeconomic_status,4,NA
socioeconomic_status,5,NA
education_status,1,NA
education_status,2,NA
education_status,3,NA
education_status,4,NA
education_status,5,NA
education_status,6,NA
education_status,7,NA
ivf,0,NA
ivf,1,NA
pe,0,NA
pe,1,NA
gdm,0,NA
gdm,1,NA
cs,0,NA
cs,1,NA
sex,0,NA
sex,1,NA
multiple_gestation,0,NA
multiple_gestation,1,NA
birthtime_scoring,1,NA
birthtime_scoring,2,NA
birthtime_scoring,3,NA
chorioamnionitis,0,NA
chorioamnionitis,1,NA
survive,0,NA
survive,1,NA
rop_severe,0,NA
rop_severe,1,NA
bpd_grade,0,NA
bpd_grade,1,NA
bpd_grade,2,NA
eugr_hc,0,NA
eugr_hc,1,NA
eugr_bw,0,NA
eugr_bw,1,NA
hearing,0,NA
hearing,1,NA
bw_z_qw,0,NA
bw_z_qw,1,NA
bw_z_qw,2,NA
bw_z_qw,3,NA
hc_z_qw,0,NA
hc_z_qw,1,NA
hc_z_qw,2,NA
hc_z_qw,3,NA
resp_supp_raw,1,NA
resp_supp_raw,2,NA
resp_supp_raw,3,NA
resp_supp_raw,4,NA
resp_supp_raw,5,NA
resp_supp_raw,6,NA
ivh,0,NA
ivh,1,NA
ivh,2,NA
ivh,4,NA
ivh,5,NA
ivh,6,NA
pvl,0,NA
pvl,2,NA
pvl,4,NA
pvl,6,NA
cerebellar_hemorrhage,0,NA
cerebellar_hemorrhage,2,NA
ischaemic_stroke,0,NA
ischaemic_stroke,1,NA
ischaemic_stroke,2,NA
ischaemic_stroke,3,NA
hs_pda_iv,0,NA
hs_pda_iv,1,NA
hs_pda_iv,2,NA
non_nec_surg_abd,0,NA
non_nec_surg_abd,4,NA
non_nec_surg_abd,6,NA
