table,old_colname,new_colname
demographic_surfactant_growth,ID,NA
demographic_surfactant_growth,Family_Socioeconomic_status,NA
demographic_surfactant_growth,Maternal_education_level,NA
demographic_surfactant_growth,Maternal_age,NA
demographic_surfactant_growth,IVF,NA
demographic_surfactant_growth,Preeclampsia,NA
demographic_surfactant_growth,Gestational_diabetes,NA
demographic_surfactant_growth,CS,NA
demographic_surfactant_growth,Gravida,NA
demographic_surfactant_growth,BBW,NA
demographic_surfactant_growth,GA,NA
demographic_surfactant_growth,Male,NA
demographic_surfactant_growth,Multiple_gestation,NA
demographic_surfactant_growth,AS1,NA
demographic_surfactant_growth,AS5,NA
demographic_surfactant_growth,Resuscitation_at_birth,NA
demographic_surfactant_growth,birthtime_scoring,NA
demographic_surfactant_growth,Antenatal_steroid,NA
demographic_surfactant_growth,Chorioamnionitis,NA
demographic_surfactant_growth,surfactant,NA
demographic_surfactant_growth,BBWZ,NA
demographic_surfactant_growth,BHCZ,NA
ventilation_breathing_o2_daily_42d,ID,NA
ventilation_breathing_o2_daily_42d,Age_D,NA
ventilation_breathing_o2_daily_42d,Resp_Support_raw,NA
ventilation_breathing_o2_daily_42d,FiO2_raw,NA
ventilation_breathing_o2_steroid_6w,ID,NA
ventilation_breathing_o2_steroid_6w,GA,NA
ventilation_breathing_o2_steroid_6w,Age_W,NA
ventilation_breathing_o2_steroid_6w,Cumulative_Aggressive_Resp_Support_days_QW,NA
ventilation_breathing_o2_steroid_6w,Cumulative_FiO2_Support_days_QW,NA
ventilation_breathing_o2_steroid_6w,Cumulative_FiO2_Support_concentration_QW,NA
ventilation_breathing_o2_steroid_6w,Cumulative_Aggressive_Resp_Support_percentile,NA
ventilation_breathing_o2_steroid_6w,Cumulative_FiO2_days_percentile,NA
ventilation_breathing_o2_steroid_6w,Cumulative_FiO2_concentration_percentile,NA
ventilation_breathing_o2_steroid_6w,postnatal_steroid,NA
hemodynamics_42d,ID,NA
hemodynamics_42d,Age_D,NA
hemodynamics_42d,Inotropic,NA
hemodynamics_42d,Blood_Volume,NA
hemodynamics_42d,Transfusion,NA
infection_42d,ID,NA
infection_42d,Age_D,NA
infection_42d,blood_culture,NA
infection_42d,Thrombocytopenia_severity,NA
infection_42d,Leukopenia_severity,NA
gi_tract_feeding_42d,ID,NA
gi_tract_feeding_42d,Age_D,NA
gi_tract_feeding_42d,Feeding,NA
growth_hc_bw_6w,ID,NA
growth_hc_bw_6w,Age_W,NA
growth_hc_bw_6w,Postnatal_BW_z_score_QW,NA
growth_hc_bw_6w,Postnatal_HC_z_score_QW,NA
morbidities_42d,ID,NA
morbidities_42d,Age_D,NA
morbidities_42d,IVH,NA
morbidities_42d,PVL,NA
morbidities_42d,cerebellar_hemorrhage,NA
morbidities_42d,ischaemic_stroke,NA
morbidities_42d,hs-PDArequiring_intervention,NA
morbidities_42d,NEC,NA
morbidities_42d,NonNEC_surgical_abdomen,NA
morbidities_42d,AKI,NA
outcomes,ID,NA
outcomes,Survival_at_discharge,NA
outcomes,age_of_death,NA
outcomes,severe_ROP,NA
outcomes,BPD_grade,NA
outcomes,EUGR_HC,NA
outcomes,EUGR_BW,NA
outcomes,discharge_hearing_outcome,NA
