variable,old_type,new_type
id,numeric,character
t,numeric,numeric
socioeconomic_status,numeric,factor
education_status,numeric,factor
maternal_age,numeric,numeric
ivf,numeric,factor
pe,numeric,factor
gdm,numeric,factor
cs,numeric,factor
gravida,numeric,numeric
bbw_g,numeric,numeric
ga_wk,numeric,numeric
sex,numeric,factor
multiple_gestation,numeric,factor
as1,numeric,numeric
as5,numeric,numeric
resuscitation_at_birth,numeric,numeric
birthtime_scoring,numeric,factor
steroid_antenatal,numeric,numeric
chorioamnionitis,numeric,factor
surfactant,numeric,numeric
bbw_z,numeric,numeric
bhc_z,numeric,numeric
survive,numeric,factor
death_age,numeric,numeric
rop_severe,numeric,factor
bpd_grade,numeric,factor
eugr_hc,numeric,factor
eugr_bw,numeric,factor
hearing,numeric,factor
resp_supp_agg_cum_day_qw,numeric,numeric
fio2_cum_day_qw,numeric,numeric
fio2_cum_level_qw,numeric,numeric
resp_supp_agg_cum_day_pct,numeric,numeric
fio2_cum_day_pct,numeric,numeric
fio2_cum_level_pct,numeric,numeric
steroid_postnatal,numeric,numeric
bbw_z_qw,numeric,factor
bhc_z_qw,numeric,factor
resp_supp_raw,numeric,factor
fio2_raw,numeric,numeric
inotropic,numeric,numeric
blood_volume,numeric,numeric
transfusion,numeric,numeric
blood_culture,numeric,numeric
plt,numeric,numeric
wbc,numeric,numeric
feeding,numeric,numeric
ivh,numeric,factor
pvl,numeric,factor
cerebellar_hemorrhage,numeric,factor
ischaemic_stroke,numeric,factor
hs_pda_iv,numeric,factor
nec,numeric,numeric
non_nec_surg_abd,numeric,factor
aki,numeric,numeric
